time;NETWORK__BUS__A_TN_Upu_value;NETWORK__BUS__B_TN_Upu_value;NETWORK__BUS__A2_TN_Upu_value;NETWORK__BUS__B2_TN_Upu_value;NETWORK__BUS__C_TN_Upu_value;NETWORK__BUS__E_TN_Upu_value;NETWORK__BUS__F_TN_Upu_value;GFLVSC_WP1_injectorGFL_PGenPu;GFLVSC_WP1_injectorGFL_QGenPu;GFLVSC_WP1_injectorGFL_UConvPu;GFLVSC_WP1_injectorGFL_UPccPu;GFLVSC_WP2_injectorGFL_PGenPu;GFLVSC_WP2_injectorGFL_QGenPu;GFLVSC_WP2_injectorGFL_UConvPu;GFLVSC_WP2_injectorGFL_UPccPu;GFLVSC_HVDC1_injectorGFL_PGenPu;GFLVSC_HVDC1_injectorGFL_QGenPu;GFLVSC_HVDC1_injectorGFL_UConvPu;GFLVSC_HVDC1_injectorGFL_UPccPu;GFLVSC_HVDC2_injectorGFL_PGenPu;GFLVSC_HVDC2_injectorGFL_QGenPu;GFLVSC_HVDC2_injectorGFL_UConvPu;GFLVSC_HVDC2_injectorGFL_UPccPu;InfBus_infiniteBus_UBus0Pu;InfBus_infiniteBus_UPhaseBus0;
0.29000;1.00757;1.00542;1.03186;0.99255;1.00000;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93766;-0.08493;1.00001;1.00757;-0.94558;0.20362;1.04084;1.00542;0.99999;0.00039;
0.30000;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.31000;1.00757;1.00542;1.03187;0.99255;1.00000;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93766;-0.08493;1.00001;1.00757;-0.94558;0.20362;1.04084;1.00542;0.99999;0.00039;
0.32000;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.33000;1.00757;1.00542;1.03187;0.99255;1.00000;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93766;-0.08493;1.00001;1.00757;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.34000;1.00758;1.00542;1.03187;0.99256;1.00001;1.04756;0.99974;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99974;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.35000;1.00757;1.00542;1.03187;0.99255;1.00000;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00757;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.36000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.37000;1.00757;1.00542;1.03187;0.99255;1.00001;1.04755;0.99973;0.82996;-0.06109;1.04886;1.04755;0.82987;-0.32640;0.97000;0.99973;-0.93767;-0.08493;1.00001;1.00757;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
0.38000;1.00758;1.00542;1.03187;0.99255;1.00001;1.04756;0.99973;0.82996;-0.06109;1.04887;1.04756;0.82988;-0.32640;0.97001;0.99973;-0.93767;-0.08493;1.00001;1.00758;-0.94559;0.20362;1.04084;1.00542;0.99999;0.00039;
