X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

745.45E-3;902.35125225E-3;-117.60251813E-3;935.12195788E-3;98.208434758E-3;-128.30357246E3;-83.746240182E3;
745.5E-3;902.30020843E-3;-117.55698815E-3;935.05334714E-3;98.210506871E-3;-133.09234482E3;-88.7320629E3;
745.55E-3;902.2491989E-3;-117.51145065E-3;934.98475511E-3;98.212496566E-3;-137.84841749E3;-93.696079087E3;
745.6E-3;902.19822367E-3;-117.46590571E-3;934.91618182E-3;98.214403949E-3;-142.57062017E3;-98.637065866E3;
745.65E-3;902.14728271E-3;-117.42035341E-3;934.8476273E-3;98.216229127E-3;-147.25779085E3;-103.55380602E3;
745.7E-3;902.09637603E-3;-117.37479383E-3;934.77909159E-3;98.217972205E-3;-151.90877615E3;-108.44508828E3;
745.75E-3;902.04550362E-3;-117.32922703E-3;934.71057471E-3;98.219633291E-3;-156.52243158E3;-113.30970766E3;
745.8E-3;901.99466546E-3;-117.28365311E-3;934.64207669E-3;98.221212493E-3;-161.0976218E3;-118.14646571E3;
745.85E-3;901.94386154E-3;-117.23807212E-3;934.57359758E-3;98.222709919E-3;-165.63322097E3;-122.95417085E3;
745.9E-3;901.89309185E-3;-117.19248416E-3;934.50513739E-3;98.224125677E-3;-170.12811293E3;-127.73163861E3;
745.95E-3;901.84235639E-3;-117.14688929E-3;934.43669616E-3;98.225459876E-3;-174.58119156E3;-132.477692E3;
746E-3;901.79165515E-3;-117.1012876E-3;934.36827392E-3;98.226712626E-3;-178.991361E3;-137.19116173E3;
746.05E-3;901.74098812E-3;-117.05567915E-3;934.29987071E-3;98.227884036E-3;-183.35753595E3;-141.87088653E3;
746.1E-3;901.69035528E-3;-117.01006403E-3;934.23148654E-3;98.228974217E-3;-187.67864191E3;-146.51571343E3;
746.15E-3;901.63975662E-3;-116.9644423E-3;934.16312147E-3;98.229983279E-3;-191.95361548E3;-151.12449806E3;
746.2E-3;901.58919215E-3;-116.91881406E-3;934.09477551E-3;98.230911334E-3;-196.18140459E3;-155.69610489E3;
746.25E-3;901.53866184E-3;-116.87317936E-3;934.0264487E-3;98.231758492E-3;-200.36096877E3;-160.22940757E3;
746.3E-3;901.4881657E-3;-116.82753829E-3;933.95814107E-3;98.232524867E-3;-204.4912794E3;-164.72328916E3;
746.35E-3;901.4377037E-3;-116.78189092E-3;933.88985265E-3;98.23321057E-3;-208.57131999E3;-169.1766424E3;
746.4E-3;901.38727584E-3;-116.73623733E-3;933.82158348E-3;98.233815714E-3;-212.60008639E3;-173.58837004E3;
746.45E-3;901.33688211E-3;-116.69057759E-3;933.75333358E-3;98.234340412E-3;-216.57658707E3;-177.95738505E3;
746.5E-3;901.2865225E-3;-116.64491178E-3;933.68510299E-3;98.234784777E-3;-220.49984335E3;-182.28261091E3;
746.55E-3;901.236197E-3;-116.59923997E-3;933.61689174E-3;98.235148924E-3;-224.36888964E3;-186.5629819E3;
746.6E-3;901.1859056E-3;-116.55356224E-3;933.54869986E-3;98.235432967E-3;-228.18277368E3;-190.79744331E3;
746.65E-3;901.1356483E-3;-116.50787866E-3;933.48052739E-3;98.235637021E-3;-231.94055678E3;-194.98495176E3;
746.7E-3;901.08542507E-3;-116.46218931E-3;933.41237434E-3;98.235761199E-3;-235.64131404E3;-199.12447539E3;
