"time","InjectorGFL.PGenPu","InjectorGFL.QGenPu","InjectorGFL.UConvPu","InjectorGFL.UPccPu"
0.276,0.8333332324240691,0.03915024750659388,0.9987804421954348,1.000002622356019
0.277,0.8333332330662286,0.03915024758048535,0.9987804422106694,1.00000262234365
0.278,0.8333332337083877,0.03915024765437666,0.9987804422259039,1.000002622331281
0.279,0.8333332343505473,0.03915024772826814,0.9987804422411386,1.000002622318911
0.28,0.8333332349927064,0.03915024780215953,0.9987804422563732,1.000002622306542
0.281,0.8333332356348659,0.03915024787605097,0.9987804422716078,1.000002622294173
0.282,0.8333332362770254,0.03915024794994232,0.9987804422868425,1.000002622281804
0.283,0.8333332369191845,0.03915024802383368,0.9987804423020771,1.000002622269435
0.284,0.8333332375613435,0.03915024809772504,0.9987804423173116,1.000002622257066
0.285,0.8333332382035031,0.03915024817161649,0.9987804423325464,1.000002622244697
0.286,0.8333332388456623,0.03915024824550788,0.998780442347781,1.000002622232328
0.287,0.8333332394878218,0.03915024831939933,0.9987804423630156,1.000002622219959
0.288,0.833333240129981,0.03915024839329066,0.9987804423782501,1.00000262220759
0.289,0.8333332407721404,0.03915024846718208,0.9987804423934847,1.000002622195221
0.29,0.8333332414142999,0.03915024854107343,0.9987804424087194,1.000002622182852
0.291,0.8333332420564589,0.03915024861496487,0.9987804424239539,1.000002622170483
0.292,0.8333332426986182,0.03915024868885624,0.9987804424391886,1.000002622158114
0.293,0.8333332433407777,0.03915024876274761,0.9987804424544231,1.000002622145745
0.294,0.833333243982937,0.03915024883663901,0.9987804424696579,1.000002622133376
0.295,0.8333332446250964,0.03915024891053047,0.9987804424848924,1.000002622121007
0.296,0.8333332452672556,0.03915024898442183,0.998780442500127,1.000002622108638
0.297,0.8333332459094153,0.03915024905831328,0.9987804425153617,1.000002622096269
0.298,0.8333332465515743,0.03915024913220463,0.9987804425305963,1.0000026220839
0.299,0.8333332471937336,0.03915024920609603,0.9987804425458309,1.00000262207153
0.3,0.8333332478358929,0.03915024927998743,0.9987804425610655,1.000002622059161
0.301,0.8333332484780526,0.03915024935387888,0.9987804425763002,1.000002622046792
0.302,0.8333332491202116,0.03915024942777019,0.9987804425915348,1.000002622034423
0.303,0.833333249762371,0.03915024950166168,0.9987804426067693,1.000002622022054
0.304,0.8333332504045301,0.03915024957555299,0.9987804426220039,1.000002622009685
0.305,0.8333332510466896,0.03915024964944443,0.9987804426372385,1.000002621997316
0.306,0.833333251688849,0.03915024972333582,0.9987804426524732,1.000002621984947
0.307,0.8333332523310083,0.03915024979722721,0.9987804426677078,1.000002621972578
0.308,0.8333332529731677,0.0391502498711186,0.9987804426829424,1.000002621960209
0.309,0.8333332536153268,0.03915024994500996,0.998780442698177,1.00000262194784
0.31,0.8333332542574861,0.03915025001890137,0.9987804427134117,1.000002621935471
0.311,0.8333332548996456,0.0391502500927928,0.9987804427286463,1.000002621923102
0.312,0.8333332555418049,0.03915025016668416,0.9987804427438809,1.000002621910733
0.313,0.8333332561839641,0.03915025024057554,0.9987804427591156,1.000002621898364
0.314,0.8333332568261236,0.03915025031446694,0.9987804427743501,1.000002621885995
0.315,0.8333332574682828,0.03915025038835836,0.9987804427895847,1.000002621873626
0.316,0.8333332581104423,0.03915025046224978,0.9987804428048193,1.000002621861257
0.317,0.8333332587526014,0.03915025053614116,0.9987804428200541,1.000002621848887
0.318,0.8333332593947607,0.03915025061003252,0.9987804428352884,1.000002621836518
0.319,0.8333332600369203,0.03915025068392394,0.9987804428505233,1.000002621824149
0.32,0.8333332606790795,0.03915025075781534,0.9987804428657578,1.00000262181178
0.321,0.8333332613212387,0.03915025083170676,0.9987804428809923,1.000002621799411
0.322,0.8333332619633982,0.03915025090559814,0.998780442896227,1.000002621787042
0.323,0.8333332626055574,0.03915025097948952,0.9987804429114617,1.000002621774673
0.324,0.8333332632477171,0.03915025105338096,0.9987804429266962,1.000002621762304
0.325,0.8333332638898761,0.03915025112727235,0.9987804429419308,1.000002621749935
0.326,0.8333332645320357,0.03915025120116374,0.9987804429571655,1.000002621737566
0.327,0.8333332651741947,0.03915025127505511,0.9987804429724001,1.000002621725197
0.328,0.833333265816354,0.03915025134894648,0.9987804429876348,1.000002621712828
0.329,0.8333332664585136,0.03915025142283794,0.9987804430028693,1.000002621700459
0.33,0.8333332671006728,0.03915025149672933,0.998780443018104,1.00000262168809
0.331,0.8333332675138577,0.03915025154648631,0.998780443028742,1.000002621680661
0.332,0.8333332677587265,0.03915025157850241,0.9987804430360011,1.000002621676863
0.333,0.8333332680035955,0.03915025161051853,0.9987804430432601,1.000002621673066
0.334,0.8333332682484645,0.03915025164253471,0.9987804430505192,1.000002621669269
0.335,0.8333332684933334,0.03915025167455082,0.9987804430577781,1.000002621665471
0.336,0.8333332687382023,0.03915025170656691,0.9987804430650371,1.000002621661674
0.337,0.8333332689830713,0.03915025173858305,0.9987804430722962,1.000002621657877
0.338,0.8333332692279402,0.03915025177059923,0.9987804430795553,1.000002621654079
0.339,0.8333332694728089,0.03915025180261525,0.9987804430868144,1.000002621650282
0.34,0.8333332697176778,0.03915025183463143,0.9987804430940733,1.000002621646484
0.341,0.8333332699625468,0.03915025186664754,0.9987804431013325,1.000002621642687
0.342,0.8333332702074157,0.03915025189866368,0.9987804431085915,1.00000262163889
0.343,0.833333270452285,0.03915025193067988,0.9987804431158505,1.000002621635092
0.344,0.8333332706971538,0.03915025196269593,0.9987804431231097,1.000002621631295
0.345,0.8333332709420226,0.03915025199471208,0.9987804431303686,1.000002621627498
0.346,0.8333332711868915,0.0391502520267282,0.9987804431376278,1.0000026216237
0.347,0.8333332714317604,0.03915025205874432,0.9987804431448868,1.000002621619903
0.348,0.8333332716766291,0.03915025209076042,0.9987804431521459,1.000002621616105
0.349,0.8333332719214983,0.03915025212277658,0.998780443159405,1.000002621612308
0.35,0.833333272166367,0.03915025215479265,0.9987804431666639,1.000002621608511
0.351,0.8333332724112361,0.0391502521868088,0.998780443173923,1.000002621604713
0.352,0.833333272656105,0.03915025221882492,0.998780443181182,1.000002621600916
0.353,0.833333272900974,0.03915025225084108,0.9987804431884411,1.000002621597119
0.354,0.8333332731458427,0.03915025228285716,0.9987804431957003,1.000002621593321
0.355,0.8333332733907118,0.0391502523148733,0.9987804432029593,1.000002621589524
0.356,0.8333332736355809,0.03915025234688947,0.9987804432102183,1.000002621585727
0.357,0.8333332738804494,0.03915025237890551,0.9987804432174774,1.000002621581929
0.358,0.8333332741253187,0.03915025241092168,0.9987804432247365,1.000002621578132
0.359,0.8333332743701874,0.03915025244293781,0.9987804432319953,1.000002621574334
0.36,0.8333332746150562,0.03915025247495391,0.9987804432392544,1.000002621570537
0.361,0.8333332748599251,0.03915025250697003,0.9987804432465135,1.000002621566739
0.362,0.8333332751047942,0.0391502525389862,0.9987804432537726,1.000002621562942
0.363,0.8333332753496631,0.03915025257100232,0.9987804432610317,1.000002621559145
0.364,0.8333332755945321,0.03915025260301841,0.9987804432682907,1.000002621555347
0.365,0.8333332758394011,0.0391502526350346,0.9987804432755498,1.00000262155155
0.366,0.8333332760842699,0.0391502526670507,0.9987804432828088,1.000002621547752
0.367,0.8333332763291389,0.03915025269906681,0.9987804432900679,1.000002621543955
