time;GFLVSC_controlGFL_activePowerLoop_idRefPu;GFLVSC_controlGFL_reactivePowerLoop_iqRefPu;GFLVSC_injectorGFL_PGenPu;GFLVSC_injectorGFL_QGenPu;GFLVSC_injectorGFL_UConvPu;GFLVSC_injectorGFL_UPccPu;
3.026566;0.081288;-1.000000;0.000033;0.109698;0.260023;0.111144;
3.026574;0.081368;-1.000000;0.000033;0.109678;0.260000;0.111134;
3.026590;0.081528;-1.000000;0.000033;0.109638;0.259953;0.111114;
3.026622;0.081848;-1.000000;0.000032;0.109560;0.259860;0.111074;
3.026686;0.082488;-1.000000;0.000032;0.109407;0.259678;0.110996;
3.026814;0.083768;-1.000000;0.000031;0.109114;0.259330;0.110848;
3.027070;0.086328;-1.000000;0.000030;0.108586;0.258702;0.110580;
3.027582;0.091448;-1.000000;0.000029;0.107764;0.257721;0.110161;
3.028094;0.096568;-1.000000;0.000028;0.107216;0.257065;0.109881;
3.028606;0.101688;-1.000000;0.000028;0.106930;0.256721;0.109734;
3.029118;0.106808;-1.000000;0.000029;0.106858;0.256635;0.109697;
3.029139;0.107016;-1.000000;0.000029;0.106858;0.256635;0.109697;
3.029139;0.107016;-1.000000;0.000029;0.106858;0.256635;0.109697;
3.029140;0.107026;-1.000000;0.000029;0.106860;0.256638;0.109698;
3.029141;0.107036;-1.000000;0.000029;0.106860;0.256638;0.109698;
3.029143;0.107056;-1.000000;0.000029;0.106860;0.256638;0.109698;
3.029147;0.107096;-1.000000;0.000029;0.106861;0.256638;0.109698;
3.029155;0.107176;-1.000000;0.000029;0.106861;0.256639;0.109699;
3.029171;0.107336;-1.000000;0.000029;0.106863;0.256641;0.109699;
3.029203;0.107656;-1.000000;0.000029;0.106866;0.256645;0.109701;
3.029267;0.108296;-1.000000;0.000029;0.106875;0.256655;0.109705;
3.029395;0.109576;-1.000000;0.000029;0.106897;0.256682;0.109717;
3.029651;0.112136;-1.000000;0.000029;0.106964;0.256763;0.109751;
3.030163;0.117256;-1.000000;0.000029;0.107162;0.257000;0.109853;
3.031187;0.127496;-1.000000;0.000030;0.107707;0.257652;0.110131;
3.031676;0.132393;-1.000000;0.000031;0.107998;0.258001;0.110280;
3.031676;0.132393;-1.000000;0.000031;0.107998;0.258001;0.110280;
3.031677;0.132403;-1.000000;0.000031;0.107999;0.258001;0.110280;
3.031678;0.132413;-1.000000;0.000031;0.107999;0.258002;0.110281;
3.031680;0.132433;-1.000000;0.000031;0.108001;0.258004;0.110281;
3.031683;0.132461;-1.000000;0.000031;0.108003;0.258006;0.110282;
3.031683;0.132461;-1.000000;0.000031;0.108003;0.258006;0.110282;
3.031684;0.132463;-1.000000;0.000031;0.108003;0.258007;0.110283;
3.031685;0.132459;-1.000000;0.000031;0.108004;0.258008;0.110283;
3.031687;0.132443;-1.000000;0.000031;0.108006;0.258010;0.110284;
3.031691;0.132392;-1.000000;0.000031;0.108008;0.258013;0.110285;
3.031699;0.132274;-1.000000;0.000031;0.108014;0.258020;0.110288;
3.031715;0.132027;-1.000000;0.000031;0.108025;0.258033;0.110294;
3.031747;0.131543;-1.000000;0.000031;0.108046;0.258058;0.110304;
3.031811;0.130595;-1.000000;0.000031;0.108084;0.258104;0.110324;
3.031939;0.128826;-1.000000;0.000031;0.108147;0.258179;0.110356;
3.032195;0.125997;-1.000000;0.000031;0.108228;0.258275;0.110397;
3.032707;0.122893;-1.000000;0.000031;0.108283;0.258341;0.110425;
3.033219;0.121503;-1.000000;0.000031;0.108288;0.258347;0.110428;
3.034243;0.121022;-1.000000;0.000031;0.108265;0.258320;0.110416;
3.035267;0.120978;-1.000000;0.000031;0.108250;0.258302;0.110409;
3.037315;0.120673;-1.000000;0.000031;0.108243;0.258293;0.110405;
3.041411;0.119727;-1.000000;0.000031;0.108242;0.258292;0.110405;
3.049603;0.117799;-1.000000;0.000030;0.108242;0.258292;0.110405;
3.065987;0.114142;-1.000000;0.000030;0.108242;0.258292;0.110404;
3.098755;0.107538;-1.000000;0.000029;0.108241;0.258291;0.110404;
3.099999;0.107329;-1.000000;0.000029;0.108241;0.258291;0.110404;
3.099999;0.107329;-1.000000;0.293284;1.168918;1.352209;1.229232;
3.099999;0.107334;-1.000000;0.293283;1.168916;1.352209;1.229231;
3.099999;0.107334;-1.000000;0.293283;1.168916;1.352209;1.229231;
3.100000;0.107344;-1.000000;0.293197;1.168395;1.352072;1.229148;
3.100001;0.107354;-1.000000;0.293110;1.167875;1.351935;1.229065;
3.100003;0.107374;-1.000000;0.292937;1.166837;1.351663;1.228900;
3.100007;0.107414;-1.000000;0.292593;1.164769;1.351120;1.228571;
3.100015;0.107494;-1.000000;0.291909;1.160669;1.350042;1.227917;
3.100031;0.107654;-1.000000;0.290565;1.152606;1.347921;1.226630;
3.100063;0.107974;-1.000000;0.287960;1.137018;1.343808;1.224136;
3.100127;0.108614;-1.000000;0.283075;1.107866;1.336077;1.219447;
3.100255;0.109894;-1.000000;0.274466;1.056786;1.322407;1.211155;
3.100511;0.112454;-1.000000;0.261047;0.977853;1.300960;1.198145;
3.100767;0.115014;-1.000000;0.251702;0.923601;1.285999;1.189070;
3.101023;0.117574;-1.000000;0.245362;0.887460;1.275926;1.182960;
3.101279;0.120134;-1.000000;0.241211;0.864479;1.269461;1.179040;
3.101535;0.122694;-1.000000;0.238626;0.850955;1.265634;1.176720;
3.102047;0.127814;-1.000000;0.236229;0.840473;1.262631;1.174902;
3.102559;0.132934;-1.000000;0.236204;0.845215;1.263978;1.175726;
3.103071;0.138054;-1.000000;0.237451;0.858221;1.267652;1.177964;
3.103583;0.143174;-1.000000;0.239362;0.875191;1.272435;1.180873;
3.104095;0.148294;-1.000000;0.241562;0.893775;1.277652;1.184047;
3.104272;0.150064;-1.000000;0.242340;0.900200;1.279450;1.185140;
3.104272;0.150064;-1.000000;0.242340;0.900200;1.279450;1.185140;
3.104272;0.150064;-1.000000;0.242340;0.900200;1.279450;1.185140;
3.104272;0.150064;-1.000000;0.242378;0.900172;1.279449;1.185139;
3.104273;0.150074;-0.999986;0.242383;0.900210;1.279460;1.185146;
3.104274;0.150084;-0.999972;0.242387;0.900247;1.279470;1.185152;
3.104276;0.150104;-0.999943;0.242396;0.900323;1.279492;1.185165;
3.104280;0.150144;-0.999887;0.242415;0.900475;1.279534;1.185191;
3.104288;0.150224;-0.999773;0.242451;0.900777;1.279618;1.185242;
3.104304;0.150384;-0.999546;0.242524;0.901376;1.279786;1.185344;
3.104336;0.150704;-0.999092;0.242667;0.902556;1.280115;1.185545;
3.104400;0.151344;-0.998182;0.242949;0.904847;1.280755;1.185934;
3.104528;0.152624;-0.996355;0.243491;0.909177;1.281964;1.186669;
3.104784;0.155184;-0.992684;0.244509;0.916975;1.284137;1.187990;
3.105296;0.160304;-0.985276;0.246387;0.929973;1.287751;1.190185;
3.106320;0.170544;-0.970263;0.249955;0.949337;1.293112;1.193435;
3.107344;0.180784;-0.955046;0.253656;0.962547;1.296757;1.195635;
3.108368;0.191024;-0.939684;0.257713;0.971870;1.299322;1.197171;
3.109392;0.201264;-0.924222;0.262210;0.978328;1.301092;1.198216;
3.111440;0.221744;-0.893171;0.272633;0.984438;1.302761;1.199150;
3.113488;0.242224;-0.862099;0.284999;0.982247;1.302154;1.198671;
3.115536;0.262704;-0.831200;0.299165;0.973085;1.299629;1.196998;
3.117584;0.283184;-0.800644;0.314932;0.958198;1.295515;1.194331;
3.119632;0.303664;-0.770575;0.332081;0.938718;1.290107;1.190851;
3.123728;0.344624;-0.712436;0.369450;0.890819;1.276692;1.182236;
3.127824;0.385584;-0.657317;0.409745;0.834555;1.260682;1.171942;
3.131920;0.426544;-0.605591;0.451637;0.774235;1.243207;1.160664;
3.136016;0.467504;-0.557463;0.494226;0.713015;1.225149;1.148947;
3.140112;0.508464;-0.512993;0.536806;0.653113;1.207135;1.137177;
3.148304;0.590384;-0.434549;0.620510;0.543388;1.173160;1.114675;
3.156496;0.672304;-0.369186;0.701050;0.448563;1.142517;1.093927;
3.164688;0.754224;-0.315449;0.778867;0.369548;1.115893;1.075385;
3.172880;0.836144;-0.271713;0.854766;0.305516;1.093441;1.059141;
3.173855;0.845886;-0.267005;0.863682;0.298694;1.090998;1.057331;
3.173855;0.845886;-0.267005;0.863682;0.298694;1.090998;1.057331;
3.173856;0.845896;-0.267000;0.863814;0.298993;1.091096;1.057381;
3.173857;0.845906;-0.266996;0.863823;0.298986;1.091093;1.057379;
3.173859;0.845926;-0.266986;0.863834;0.298954;1.091082;1.057373;
3.173863;0.845966;-0.266968;0.863878;0.298946;1.091079;1.057369;
3.173871;0.846046;-0.266931;0.863951;0.298891;1.091059;1.057354;
3.173887;0.846206;-0.266857;0.864097;0.298783;1.091020;1.057325;
3.173919;0.846526;-0.266710;0.864389;0.298567;1.090942;1.057267;
3.173983;0.847166;-0.266416;0.864972;0.298136;1.090786;1.057150;
3.174111;0.848446;-0.265828;0.866139;0.297276;1.090475;1.056918;
3.174367;0.851006;-0.264660;0.868471;0.295567;1.089856;1.056456;
3.174879;0.856126;-0.262346;0.873132;0.292192;1.088631;1.055538;
3.175903;0.866366;-0.257811;0.882438;0.285600;1.086228;1.053729;
3.177951;0.886846;-0.249099;0.900987;0.273015;1.081597;1.050207;
3.182047;0.927806;-0.233010;0.937844;0.250034;1.072987;1.043514;
3.186978;0.977116;-0.215719;0.981841;0.225701;1.063618;1.035985;
3.186978;0.977116;-0.215719;0.981814;0.225718;1.063618;1.035984;
3.186979;0.977108;-0.215715;0.981823;0.225708;1.063614;1.035982;
